"","X","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat","fact_freq_def","rt_growth","x_var","evo","eco","eco_evo","evo_eco","ln_cr","ln_rt"
"29",109,9,"CR1","CR6",0.9,0.1,5,392,1,1,3,2108657.61665158,NA,NA,"Treatment","0.9",-0.22314355131421,NA,NA,NA,NA,NA,14.5615621023517,1.38629436111989
"30",209,9,"CR1","CR6",0.9,0.1,5,392,1,2,5.8,2143650.07547511,0.931014492753623,0.0689855072463768,"Treatment","0.9",0.53062825106217,1995769.28765973,-0.216327778270983,-0.136952410724569,0.6330782473669,1.57958357305626,14.5780205767867,1.91692261218206
"31",309,9,"CR1","CR6",0.9,0.1,5,392,1,3,8.2,577073.906606335,0.0441176470588235,0.955882352941177,"Treatment","0.9",0.302280871872934,25459.1429385148,0.117630277169656,0.0556742630636386,0.473298749295136,2.11283043001753,13.2657256249937,2.21920348405499
"32",409,9,"CR1","CR6",0.9,0.1,5,392,1,4,13.2,1404766.21411765,0.706175298804781,0.293824701195219,"Treatment","0.9",0.43403848055222,992011.201005392,-0.0503640250508166,-0.0404265119244907,0.802686280210943,1.24581673395141,14.1553814512589,2.65324196460721
"33",509,9,"CR1","CR6",0.9,0.1,5,392,1,5,22,1022926.09357466,0.474770642201835,0.525229357798165,"Treatment","0.9",0.482252251321935,485655.278371456,0.0171396677470464,-0.00413761465023479,-0.24140576767877,-4.14240309838274,13.8381777975289,3.13549421592915
"34",609,9,"CR1","CR6",0.9,0.1,5,392,1,6,36.8,978763.197828054,0.570281124497992,0.429718875502008,"Treatment","0.9",0.496814886696392,558170.177074633,0.00581380968944409,-0.0122740149030423,-2.11118278008442,-0.473668130222252,13.7940450105672,3.63230910262554
"35",709,9,"CR1","CR6",0.9,0.1,5,392,1,7,48,862322.77520362,0.605504587155963,0.394495412844037,"Treatment","0.9",0.259511195485084,522140.395994852,-0.0799537146582999,-0.00103204343853788,0.0129080111280452,77.4712688174947,13.6673849287494,3.89182029811063
"36",809,9,"CR1","CR6",0.9,0.1,5,392,1,8,47.6,845610.859547511,0.0833333333333333,0.916666666666667,"Treatment","0.9",-0.00819676720417828,70467.5716289592,NA,NA,NA,NA,13.6478145558723,3.88362353090645
"37",11,11,"CR1","CR6",0.8,0.2,9,390,1,0,4,385000,0.8,0.2,"Treatment","0.8",NA,308000,0.132433585957748,-0.258896830970873,-1.95491822635892,-0.511530347672149,12.8609986132699,1.6094379124341
"38",111,11,"CR1","CR6",0.8,0.2,9,390,1,1,3.6,2541417.79764706,0.362,0.638,"Treatment","0.8",-0.0833816089390511,919993.242748236,NA,NA,NA,NA,14.7482326713157,1.52605630349505
"39",211,11,"CR1","CR6",0.8,0.2,9,390,1,2,NA,1568.62745104072,NA,NA,"Treatment","0.8",NA,NA,NA,NA,NA,NA,7.35795628097015,NA
"40",311,11,"CR1","CR6",0.8,0.2,9,390,1,3,10,1119517.34552036,0.0320404721753794,0.967959527824621,"Treatment","0.8",0.435919484651661,35869.8643589997,-0.219149620417543,-0.0563719531736338,0.257230439488004,3.88756479206123,13.9284082088896,2.39789527279837
"41",411,11,"CR1","CR6",0.8,0.2,9,390,1,4,11,1812307.69248869,0.755501222493888,0.244498777506112,"Treatment","0.8",0.0870113769896297,1369200.67721028,0.125773103300255,0.0737486563879071,0.586362699597613,1.70542908115786,14.410111559386,2.484906649788
