"","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat"
"109",9,"CR1","CR6",0.9,0.1,5,392,1,1,3,2108657.61665158,NA,NA,"Treatment"
"110",10,"CR1","CR6",0,1,2,391,1,1,3.6,1570739.06497738,NA,NA,"Control"
"111",11,"CR1","CR6",0.8,0.2,9,390,1,1,3.6,2541417.79764706,0.362,0.638,"Treatment"
"112",12,"CR1","CR7",0.7,0.3,1,389,1,1,4,1728024.13248869,0.539,0.461,"Treatment"
"115",15,"CR2","CR7",0.7,0.3,10,386,1,1,5.8,784434.389321267,0.115196078431373,0.884803921568627,"Treatment"
"116",16,"CR2","CR6",0.8,0.2,8,385,1,1,2,899426.847420814,0.0536723163841808,0.946327683615819,"Treatment"
"121",21,"CR1","CR6",0.6,0.4,8,380,1,1,3.2,1433363.49936652,0.231,0.769,"Treatment"
"126",26,"CR2","CR7",0.7,0.3,8,375,1,1,5.6,718733.031855203,0.170731707317073,0.829268292682927,"Treatment"
"127",27,"CR1","CR7",0.7,0.3,9,374,1,1,3.4,2066184.0119457,0.534,0.466,"Treatment"
"128",28,"CR2","CR7",0.6,0.4,9,373,1,1,4.22222222222222,815625.942624434,0.13768115942029,0.86231884057971,"Treatment"
"129",29,"CR2","CR7",0.8,0.2,1,372,1,1,5.2,595957.767963801,0.196185286103542,0.803814713896458,"Treatment"
"130",30,"CR1","CR6",0.7,0.3,6,371,1,1,4.2,2253936.65158371,NA,NA,"Treatment"
"131",31,"CR1","CR7",0.7,0.3,6,370,1,1,5,1642171.94552036,0.576,0.424,"Treatment"
"132",32,"CR2","CR6",0.8,0.2,4,369,1,1,2.4,739125.18841629,0.0866141732283465,0.913385826771654,"Treatment"
"136",36,"CR1","CR7",0.6,0.4,9,365,1,1,3.2,1239819.00434389,0.547717842323652,0.452282157676349,"Treatment"
"137",37,"CR2","CR6",0.6,0.4,5,364,1,1,6,1177194.57013575,0.0660954712362301,0.93390452876377,"Treatment"
"138",38,"CR1","CR6",1,0,7,363,1,1,3,2839758.67276018,NA,NA,"Control"
"140",40,"CR2","CR6",0.8,0.2,1,361,1,1,4,446033.182479638,0.179775280898876,0.820224719101124,"Treatment"
"141",41,"CR1","CR7",0.6,0.4,7,360,1,1,5.55555555555556,1192398.19004525,0.563013698630137,0.436986301369863,"Treatment"
"143",43,"CR1","CR7",0,1,1,358,1,1,2,1985761.68923077,NA,NA,"Control"
"145",45,"CR2","CR6",0.6,0.4,3,356,1,1,3.6,954449.472217194,0.0736842105263158,0.926315789473684,"Treatment"
"146",46,"CR1","CR6",0.9,0.1,4,355,1,1,3.4,1175384.61556561,0.457746478873239,0.542253521126761,"Treatment"
"148",48,"CR1","CR7",0.7,0.3,7,353,1,1,NA,1206.63650063348,NA,NA,"Treatment"
"149",49,"CR2","CR7",0.9,0.1,3,352,1,1,NA,2111.61387638009,NA,NA,"Treatment"
"151",51,"CR1","CR7",0,1,8,350,1,1,2.6,1162051.28199095,NA,NA,"Control"
"153",53,"CR1","CR6",1,0,1,348,1,1,2.8,1817435.89737557,NA,NA,"Control"
"154",54,"CR2","CR7",0.8,0.2,2,347,1,1,3,613514.328868778,0.292993630573248,0.707006369426752,"Treatment"
"155",55,"CR2","CR6",0.8,0.2,5,346,1,1,3.6,577315.233665158,0.0967741935483871,0.903225806451613,"Treatment"
"157",57,"CR2","CR6",0.8,0.2,3,344,1,1,1.6,748597.285248869,0.130890052356021,0.869109947643979,"Treatment"
"158",58,"CR1","CR6",0.8,0.2,8,343,1,1,2.6,2074751.13122172,0.262,0.738,"Treatment"
"160",60,"CR2","CR6",0.7,0.3,6,341,1,1,5.4,870346.908054299,0.130909090909091,0.869090909090909,"Treatment"
"161",61,"CR1","CR6",0.9,0.1,9,340,1,1,4.2,1816530.919819,0.182948490230906,0.817051509769094,"Treatment"
"163",63,"CR2","CR6",0.6,0.4,8,338,1,1,5.25,1192941.17647059,0.127027027027027,0.872972972972973,"Treatment"
"165",65,"CR1","CR7",0.8,0.2,6,336,1,1,3.2,2010437.40597285,0.287272727272727,0.712727272727273,"Treatment"
"169",69,"CR1","CR6",0.6,0.4,1,332,1,1,4.8,1767481.14624434,0.172,0.828,"Treatment"
"170",70,"CR1","CR7",0.9,0.1,5,331,1,1,3.8,1738883.86099547,0.311,0.689,"Treatment"
"171",71,"CR1","CR6",0.8,0.2,2,330,1,1,4.2,2614539.96977376,0.168,0.832,"Treatment"
"176",76,"CR2","CR6",0.9,0.1,3,325,1,1,4,707692.307511312,0.171428571428571,0.828571428571429,"Treatment"
"177",77,"CR2","CR6",0.9,0.1,6,324,1,1,2.6,597586.727239819,0.257950530035336,0.742049469964664,"Treatment"
"180",80,"CR2","CR7",0.7,0.3,4,321,1,1,4.6,942865.761447964,0.2416,0.7584,"Treatment"
"183",83,"CR2","CR7",0.9,0.1,8,318,1,1,6.6,798793.363438914,0.30188679245283,0.69811320754717,"Treatment"
"184",84,"CR1","CR7",0.7,0.3,2,317,1,1,2.8,2667149.32126697,0.25,0.75,"Treatment"
"185",85,"CR2","CR6",0.7,0.3,10,316,1,1,2.8,1142503.77067873,0.192534381139489,0.807465618860511,"Treatment"
"186",86,"CR1","CR6",0,1,8,315,1,1,3.4,1930135.74678733,NA,NA,"Control"
"187",87,"CR2","CR6",0.6,0.4,2,314,1,1,4.2,1933514.32886878,0.116,0.884,"Treatment"
"190",90,"CR1","CR7",0.6,0.4,1,311,1,1,4.2,2386666.66642534,0.182,0.818,"Treatment"
"191",91,"CR1","CR6",0.6,0.4,9,310,1,1,1.2,2840301.65918552,0.053,0.947,"Treatment"
"195",95,"CR2","CR6",0.7,0.3,2,306,1,1,5,1141297.13429864,0.197014925373134,0.802985074626866,"Treatment"
"196",96,"CR1","CR6",0.8,0.2,7,305,1,1,4.8,2657315.23384615,0.12,0.88,"Treatment"
"197",97,"CR1","CR6",0.6,0.4,6,304,1,1,4,2772066.36488688,0.055,0.945,"Treatment"
"200",100,"CR1","CR7",0.7,0.3,10,301,1,1,0,2437647.05864253,0.245,0.755,"Treatment"
"201",1,"CR1","CR6",0,1,3,400,1,2,6.8,2007662.14153846,NA,NA,"Control"
"202",2,"CR1","CR7",0,1,3,399,1,2,5.4,762895.92760181,NA,NA,"Control"
"203",3,"CR2","CR7",0.9,0.1,2,398,1,2,5.6,591312.21719457,0.404545454545455,0.595454545454545,"Treatment"
"204",4,"CR1","CR7",0,1,7,397,1,2,8.2,1466184.0119457,NA,NA,"Control"
"205",5,"CR2","CR6",0.8,0.2,7,396,1,2,7.6,876561.085791855,0.636065573770492,0.363934426229508,"Treatment"
"208",8,"CR2","CR7",0.9,0.1,5,393,1,2,7.2,701236.802171946,0.459183673469388,0.540816326530612,"Treatment"
"209",9,"CR1","CR6",0.9,0.1,5,392,1,2,5.8,2143650.07547511,0.931014492753623,0.0689855072463768,"Treatment"
"210",10,"CR1","CR6",0,1,2,391,1,2,NA,1806033.18244344,NA,NA,"Control"
"211",11,"CR1","CR6",0.8,0.2,9,390,1,2,NA,1568.62745104072,NA,NA,"Treatment"
"212",12,"CR1","CR7",0.7,0.3,1,389,1,2,4.4,2041508.29574661,0.596407185628743,0.403592814371257,"Treatment"
"215",15,"CR2","CR7",0.7,0.3,10,386,1,2,7.6,975384.61520362,0.32569558101473,0.67430441898527,"Treatment"
"216",16,"CR2","CR6",0.8,0.2,8,385,1,2,6,874389.140090498,0.770668583752696,0.229331416247304,"Treatment"
"221",21,"CR1","CR6",0.6,0.4,8,380,1,2,5,1827993.96705882,0.9236,0.0764,"Treatment"
"226",26,"CR2","CR7",0.7,0.3,8,375,1,2,7.4,887179.487239819,0.35036496350365,0.64963503649635,"Treatment"
"227",27,"CR1","CR7",0.7,0.3,9,374,1,2,4.2,1467993.96705882,0.682978723404255,0.317021276595745,"Treatment"
"228",28,"CR2","CR7",0.6,0.4,9,373,1,2,7.2,832277.526515837,0.243027888446215,0.756972111553785,"Treatment"
"229",29,"CR2","CR7",0.8,0.2,1,372,1,2,4.8,752639.517285068,0.498392282958199,0.501607717041801,"Treatment"
"230",30,"CR1","CR6",0.7,0.3,6,371,1,2,6,2021840.12090498,0.8948,0.1052,"Treatment"
"231",31,"CR1","CR7",0.7,0.3,6,370,1,2,5.4,1693574.66063348,0.549581839904421,0.450418160095579,"Treatment"
"232",32,"CR2","CR6",0.8,0.2,4,369,1,2,3.8,730678.73321267,0.751437699680511,0.248562300319489,"Treatment"
"236",36,"CR1","CR7",0.6,0.4,9,365,1,2,6,1659788.83873303,0.622604097818903,0.377395902181097,"Treatment"
"237",37,"CR2","CR6",0.6,0.4,5,364,1,2,3.8,1210256.41031674,0.706774519716886,0.293225480283114,"Treatment"
"238",38,"CR1","CR6",1,0,7,363,1,2,5.4,2473.60482678733,NA,NA,"Control"
"240",40,"CR2","CR6",0.8,0.2,1,361,1,2,0.6,565007.541719457,0.884057971014493,0.115942028985507,"Treatment"
"241",41,"CR1","CR7",0.6,0.4,7,360,1,2,4.4,1288506.78733032,0.677966101694915,0.322033898305085,"Treatment"
"243",43,"CR1","CR7",0,1,1,358,1,2,2.4,1683076.92325792,NA,NA,"Control"
"245",45,"CR2","CR6",0.6,0.4,3,356,1,2,3.55555555555556,1082594.26859728,0.827184466019418,0.172815533980583,"Treatment"
"246",46,"CR1","CR6",0.9,0.1,4,355,1,2,5.33333333333333,1114449.4718552,NA,NA,"Treatment"
"248",48,"CR1","CR7",0.7,0.3,7,353,1,2,4.6,1401387.6320362,0.535123966942149,0.464876033057851,"Treatment"
"249",49,"CR2","CR7",0.9,0.1,3,352,1,2,4.8,419245.852180995,0.571052631578947,0.428947368421053,"Treatment"
"251",51,"CR1","CR7",0,1,8,350,1,2,5.6,1814177.97882353,NA,NA,"Control"
"253",53,"CR1","CR6",1,0,1,348,1,2,4.2,1495806.93828054,NA,NA,"Control"
"254",54,"CR2","CR7",0.8,0.2,2,347,1,2,3,664313.725248869,0.49003984063745,0.50996015936255,"Treatment"
"255",55,"CR2","CR6",0.8,0.2,5,346,1,2,2.6,940331.825158371,0.805743243243243,0.194256756756757,"Treatment"
"257",57,"CR2","CR6",0.8,0.2,3,344,1,2,3.4,953604.826425339,0.796252927400468,0.203747072599532,"Treatment"
"258",58,"CR1","CR6",0.8,0.2,8,343,1,2,3.6,1861357.46606335,0.914328358208955,0.0856716417910448,"Treatment"
"260",60,"CR2","CR6",0.7,0.3,6,341,1,2,2.6,929954.751312217,0.795952782462057,0.204047217537943,"Treatment"
"261",61,"CR1","CR6",0.9,0.1,9,340,1,2,4.4,1698159.87909502,0.903710247349823,0.0962897526501767,"Treatment"
"263",63,"CR2","CR6",0.6,0.4,8,338,1,2,3.6,1029381.59891403,0.833902939166097,0.166097060833903,"Treatment"
"265",65,"CR1","CR7",0.8,0.2,6,336,1,2,3.6,1702443.43873303,0.472922973427514,0.527077026572486,"Treatment"
"269",69,"CR1","CR6",0.6,0.4,1,332,1,2,3.4,1533333.33339367,0.858974358974359,0.141025641025641,"Treatment"
"270",70,"CR1","CR7",0.9,0.1,5,331,1,2,4.6,1468838.61230769,NA,NA,"Treatment"
"271",71,"CR1","CR6",0.8,0.2,2,330,1,2,2.4,1500392.15674208,0.863731656184486,0.136268343815514,"Treatment"
"276",76,"CR2","CR6",0.9,0.1,3,325,1,2,3.4,557164.404162896,0.849275362318841,0.150724637681159,"Treatment"
"277",77,"CR2","CR6",0.9,0.1,6,324,1,2,1.4,671251.885248869,0.854651162790698,0.145348837209302,"Treatment"
"280",80,"CR2","CR7",0.7,0.3,4,321,1,2,6.4,636018.099366516,0.514239218877136,0.485760781122864,"Treatment"
"283",83,"CR2","CR7",0.9,0.1,8,318,1,2,5.2,699245.852307692,NA,NA,"Treatment"
"284",84,"CR1","CR7",0.7,0.3,2,317,1,2,2.6,1474932.12651584,NA,NA,"Treatment"
"285",85,"CR2","CR6",0.7,0.3,10,316,1,2,4.2,1002895.92760181,NA,NA,"Treatment"
"286",86,"CR1","CR6",0,1,8,315,1,2,4.2,1989019.60778281,NA,NA,"Control"
"287",87,"CR2","CR6",0.6,0.4,2,314,1,2,0.8,767662.141900452,NA,NA,"Treatment"
"290",90,"CR1","CR7",0.6,0.4,1,311,1,2,NA,2111.61387638009,NA,NA,"Treatment"
"291",91,"CR1","CR6",0.6,0.4,9,310,1,2,NA,1741900.45248869,NA,NA,"Treatment"
"295",95,"CR2","CR6",0.7,0.3,2,306,1,2,6.2,844404.223167421,NA,NA,"Treatment"
"296",96,"CR1","CR6",0.8,0.2,7,305,1,2,3.2,1798733.0318552,NA,NA,"Treatment"
"297",97,"CR1","CR6",0.6,0.4,6,304,1,2,4,1662865.76144796,NA,NA,"Treatment"
"300",100,"CR1","CR7",0.7,0.3,10,301,1,2,0.2,2097375.56579186,NA,NA,"Treatment"
"301",1,"CR1","CR6",0,1,3,400,1,3,9.2,1149562.59420814,NA,NA,"Control"
"302",2,"CR1","CR7",0,1,3,399,1,3,6,758371.040904977,NA,NA,"Control"
"303",3,"CR2","CR7",0.9,0.1,2,398,1,3,NA,2956.25942660633,NA,NA,"Treatment"
"304",4,"CR1","CR7",0,1,7,397,1,3,NA,1583831.07095023,NA,NA,"Control"
"305",5,"CR2","CR6",0.8,0.2,7,396,1,3,10.7894736842105,730256.410316742,0.297872340425532,0.702127659574468,"Treatment"
"308",8,"CR2","CR7",0.9,0.1,5,393,1,3,9.5,648567.118914027,0.628571428571429,0.371428571428571,"Treatment"
"309",9,"CR1","CR6",0.9,0.1,5,392,1,3,8.2,577073.906606335,0.0441176470588235,0.955882352941177,"Treatment"
"310",10,"CR1","CR6",0,1,2,391,1,3,6.8,2025158.37122172,NA,NA,"Control"
"311",11,"CR1","CR6",0.8,0.2,9,390,1,3,10,1119517.34552036,0.0320404721753794,0.967959527824621,"Treatment"
"312",12,"CR1","CR7",0.7,0.3,1,389,1,3,8.2,1444645.55076923,0.180746561886051,0.819253438113949,"Treatment"
"315",15,"CR2","CR7",0.7,0.3,10,386,1,3,6,731704.374298642,0.476635514018692,0.523364485981308,"Treatment"
"316",16,"CR2","CR6",0.8,0.2,8,385,1,3,5,683559.577737557,0.225274725274725,0.774725274725275,"Treatment"
"321",21,"CR1","CR6",0.6,0.4,8,380,1,3,6.4,1533514.32868778,0.0131086142322097,0.98689138576779,"Treatment"
"326",26,"CR2","CR7",0.7,0.3,8,375,1,3,7.6,759457.013755656,0.451990632318501,0.548009367681499,"Treatment"
"327",27,"CR1","CR7",0.7,0.3,9,374,1,3,5.4,1113001.50841629,0.158208955223881,0.841791044776119,"Treatment"
"328",28,"CR2","CR7",0.6,0.4,9,373,1,3,11,406274.509791855,0.420731707317073,0.579268292682927,"Treatment"
"329",29,"CR2","CR7",0.8,0.2,1,372,1,3,7.4,641447.963619909,NA,NA,"Treatment"
"330",30,"CR1","CR6",0.7,0.3,6,371,1,3,3.4,1522895.92778281,0.032,0.968,"Treatment"
"331",31,"CR1","CR7",0.7,0.3,6,370,1,3,5.4,1348174.96235294,0.11,0.89,"Treatment"
"332",32,"CR2","CR6",0.8,0.2,4,369,1,3,6.2,706968.325791855,0.258064516129032,0.741935483870968,"Treatment"
"336",36,"CR1","CR7",0.6,0.4,9,365,1,3,7.08333333333333,669502.262443439,0.0836363636363636,0.916363636363636,"Treatment"
"337",37,"CR2","CR6",0.6,0.4,5,364,1,3,8.22222222222222,630165.912760181,0.19047619047619,0.80952380952381,"Treatment"
"338",38,"CR1","CR6",1,0,7,363,1,3,6.2,2830889.89466063,NA,NA,"Control"
"340",40,"CR2","CR6",0.8,0.2,1,361,1,3,0.8,529049.773737557,0.309405940594059,0.690594059405941,"Treatment"
"341",41,"CR1","CR7",0.6,0.4,7,360,1,3,8.4,1560000,0.221941992433796,0.778058007566204,"Treatment"
"343",43,"CR1","CR7",0,1,1,358,1,3,4.2,1818280.54316742,NA,NA,"Control"
"345",45,"CR2","CR6",0.6,0.4,3,356,1,3,2.22222222222222,903951.734660633,0.116531165311653,0.883468834688347,"Treatment"
"346",46,"CR1","CR6",0.9,0.1,4,355,1,3,4.66666666666667,1844524.88687783,0.077,0.923,"Treatment"
"348",48,"CR1","CR7",0.7,0.3,7,353,1,3,7.4,1682533.93683258,0.191850594227504,0.808149405772496,"Treatment"
"349",49,"CR2","CR7",0.9,0.1,3,352,1,3,4.2,515173.45400905,0.513924050632911,0.486075949367089,"Treatment"
"351",51,"CR1","CR7",0,1,8,350,1,3,4.4,1976772.24760181,NA,NA,"Control"
"353",53,"CR1","CR6",1,0,1,348,1,3,4.4,1592337.85846154,NA,NA,"Control"
"354",54,"CR2","CR7",0.8,0.2,2,347,1,3,5.6,674690.799638009,NA,NA,"Treatment"
