"","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat"
"426",26,"CR2","CR7",0.7,0.3,8,375,1,4,11.6,721990.95040724,0.476,0.524,"Treatment"
"427",27,"CR1","CR7",0.7,0.3,9,374,1,4,7.2,1051101.0559276,0.126984126984127,0.873015873015873,"Treatment"
"428",28,"CR2","CR7",0.6,0.4,9,373,1,4,11.6,940573.152217194,0.275280898876405,0.724719101123595,"Treatment"
"429",29,"CR2","CR7",0.8,0.2,1,372,1,4,16.2,881327.300090498,0.516455696202532,0.483544303797468,"Treatment"
"430",30,"CR1","CR6",0.7,0.3,6,371,1,4,9.4,1377978.8839819,0.721649484536082,0.278350515463918,"Treatment"
"431",31,"CR1","CR7",0.7,0.3,6,370,1,4,8.2,1462865.76162896,0.0877944325481799,0.91220556745182,"Treatment"
"432",32,"CR2","CR6",0.8,0.2,4,369,1,4,9.6,958371.040723982,0.737614678899083,0.262385321100917,"Treatment"
"436",36,"CR1","CR7",0.6,0.4,9,365,1,4,13,1604886.87800905,0.240128068303095,0.759871931696905,"Treatment"
"437",37,"CR2","CR6",0.6,0.4,5,364,1,4,11,1064072.39837104,0.738013698630137,0.261986301369863,"Treatment"
"438",38,"CR1","CR6",1,0,7,363,1,4,13.8,1906304.6758371,NA,NA,"Control"
"440",40,"CR2","CR6",0.8,0.2,1,361,1,4,0.8,734841.62877828,0.529107373868047,0.470892626131953,"Treatment"
"441",41,"CR1","CR7",0.6,0.4,7,360,1,4,10.8,1411221.71945701,0.237547892720307,0.762452107279693,"Treatment"
"443",43,"CR1","CR7",0,1,1,358,1,4,4,1680784.31348416,NA,NA,"Control"
"445",45,"CR2","CR6",0.6,0.4,3,356,1,4,2.2,1240904.97719457,0.636871508379888,0.363128491620112,"Treatment"
"446",46,"CR1","CR6",0.9,0.1,4,355,1,4,5,1667330.31692308,0.670136629798308,0.329863370201692,"Treatment"
"448",48,"CR1","CR7",0.7,0.3,7,353,1,4,10.2,1138521.87040724,0.194545454545455,0.805454545454545,"Treatment"
"449",49,"CR2","CR7",0.9,0.1,3,352,1,4,3.8,567843.137375565,0.631105398457584,0.368894601542416,"Treatment"
"451",51,"CR1","CR7",0,1,8,350,1,4,5.2,5671.19155113122,NA,NA,"Control"
"453",53,"CR1","CR6",1,0,1,348,1,4,3.6,1977134.23819004,NA,NA,"Control"
"454",54,"CR2","CR7",0.8,0.2,2,347,1,4,3.4,955837.103891402,0.508928571428571,0.491071428571429,"Treatment"
"455",55,"CR2","CR6",0.8,0.2,5,346,1,4,3.4,1058763.19764706,0.710884353741497,0.289115646258503,"Treatment"
"457",57,"CR2","CR6",0.8,0.2,3,344,1,4,4.8,970075.415022624,0.770142180094787,0.229857819905213,"Treatment"
"458",58,"CR1","CR6",0.8,0.2,8,343,1,4,6.4,1608627.45122172,0.713722397476341,0.286277602523659,"Treatment"
"460",60,"CR2","CR6",0.7,0.3,6,341,1,4,6.2,874570.135927602,0.771058315334773,0.228941684665227,"Treatment"
"461",61,"CR1","CR6",0.9,0.1,9,340,1,4,4.8,1335505.27927602,0.707811568276685,0.292188431723315,"Treatment"
"463",63,"CR2","CR6",0.6,0.4,8,338,1,4,7,1045852.18696833,0.815094339622642,0.184905660377358,"Treatment"
"465",65,"CR1","CR7",0.8,0.2,6,336,1,4,6.6,1591915.53556561,0.0882481432940149,0.911751856705985,"Treatment"
"469",69,"CR1","CR6",0.6,0.4,1,332,1,4,4.2,1823167.42099548,0.618556701030928,0.381443298969072,"Treatment"
"470",70,"CR1","CR7",0.9,0.1,5,331,1,4,9,1009230.76941176,0.192402972749794,0.807597027250206,"Treatment"
"471",71,"CR1","CR6",0.8,0.2,2,330,1,4,2,1965731.52325792,0.538340336134454,0.461659663865546,"Treatment"
"476",76,"CR2","CR6",0.9,0.1,3,325,1,4,4.6,949803.921447964,0.837603468663776,0.162396531336224,"Treatment"
"477",77,"CR2","CR6",0.9,0.1,6,324,1,4,5,854298.642352941,0.868421052631579,0.131578947368421,"Treatment"
"480",80,"CR2","CR7",0.7,0.3,4,321,1,4,12,638552.036199095,0.613924050632911,0.386075949367089,"Treatment"
"483",83,"CR2","CR7",0.9,0.1,8,318,1,4,6.8,781176.470769231,0.753424657534247,0.246575342465753,"Treatment"
"484",84,"CR1","CR7",0.7,0.3,2,317,1,4,9,1509381.59891403,0.0615901455767077,0.938409854423292,"Treatment"
"485",85,"CR2","CR6",0.7,0.3,10,316,1,4,3.4,708536.953303167,0.830594900849858,0.169405099150142,"Treatment"
"486",86,"CR1","CR6",0,1,8,315,1,4,3.4,1795173.45393665,NA,NA,"Control"
"487",87,"CR2","CR6",0.6,0.4,2,314,1,4,2.8,1269622.92597285,0.82360487491982,0.17639512508018,"Treatment"
"490",90,"CR1","CR7",0.6,0.4,1,311,1,4,1.8,1950648.56687783,0.0272857826711345,0.972714217328866,"Treatment"
"491",91,"CR1","CR6",0.6,0.4,9,310,1,4,7.2,2077888.38624434,0.425907258064516,0.574092741935484,"Treatment"
"495",95,"CR2","CR6",0.7,0.3,2,306,1,4,9.6,919396.681628959,0.913693901035673,0.0863060989643268,"Treatment"
"496",96,"CR1","CR6",0.8,0.2,7,305,1,4,10.8,1916078.43149321,0.664761904761905,0.335238095238095,"Treatment"
"497",97,"CR1","CR6",0.6,0.4,6,304,1,4,7,1255565.61067873,0.522371364653244,0.477628635346756,"Treatment"
"500",100,"CR1","CR7",0.7,0.3,10,301,1,4,0,1997707.39058824,0.00950796291894462,0.990492037081055,"Treatment"
"501",1,"CR1","CR6",0,1,3,400,1,5,21.8,1392518.85393665,NA,NA,"Control"
"502",2,"CR1","CR7",0,1,3,399,1,5,18.6,1123257.91873303,NA,NA,"Control"
"503",3,"CR2","CR7",0.9,0.1,2,398,1,5,23.6,991493.212669683,0.631578947368421,0.368421052631579,"Treatment"
"504",4,"CR1","CR7",0,1,7,397,1,5,16.4,2202473.60470588,NA,NA,"Control"
"505",5,"CR2","CR6",0.8,0.2,7,396,1,5,15.2,801809.954932127,0.578947368421053,0.421052631578947,"Treatment"
"508",8,"CR2","CR7",0.9,0.1,5,393,1,5,17.6,804162.895927602,0.645833333333333,0.354166666666667,"Treatment"
"509",9,"CR1","CR6",0.9,0.1,5,392,1,5,22,1022926.09357466,0.474770642201835,0.525229357798165,"Treatment"
"510",10,"CR1","CR6",0,1,2,391,1,5,11.8,1469502.26226244,NA,NA,"Control"
"511",11,"CR1","CR6",0.8,0.2,9,390,1,5,21.6,1164645.55058824,0.346590909090909,0.653409090909091,"Treatment"
"512",12,"CR1","CR7",0.7,0.3,1,389,1,5,12.2,1426847.66226244,0.343283582089552,0.656716417910448,"Treatment"
"515",15,"CR2","CR7",0.7,0.3,10,386,1,5,20.4,936711.915475113,0.670967741935484,0.329032258064516,"Treatment"
"516",16,"CR2","CR6",0.8,0.2,8,385,1,5,14,886153.846153846,0.482758620689655,0.517241379310345,"Treatment"
"521",21,"CR1","CR6",0.6,0.4,8,380,1,5,15.8,1410075.41484163,0.1015625,0.8984375,"Treatment"
"526",26,"CR2","CR7",0.7,0.3,8,375,1,5,15.4,673363.49918552,0.571942446043165,0.428057553956835,"Treatment"
"527",27,"CR1","CR7",0.7,0.3,9,374,1,5,12.4,1222262.44343891,0.157068062827225,0.842931937172775,"Treatment"
"528",28,"CR2","CR7",0.6,0.4,9,373,1,5,15.6,744012.066244344,0.520833333333333,0.479166666666667,"Treatment"
"529",29,"CR2","CR7",0.8,0.2,1,372,1,5,18.6,661779.788959276,0.776595744680851,0.223404255319149,"Treatment"
"530",30,"CR1","CR6",0.7,0.3,6,371,1,5,13.8,1130135.74642534,0.122516556291391,0.877483443708609,"Treatment"
"531",31,"CR1","CR7",0.7,0.3,6,370,1,5,11,1365550.5279638,0.11166562694947,0.88833437305053,"Treatment"
"532",32,"CR2","CR6",0.8,0.2,4,369,1,5,13.4,876802.413393665,0.471074380165289,0.528925619834711,"Treatment"
"536",36,"CR1","CR7",0.6,0.4,9,365,1,5,16.8,1331583.71022624,0.181818181818182,0.818181818181818,"Treatment"
"537",37,"CR2","CR6",0.6,0.4,5,364,1,5,15.4,891342.383348416,0.350877192982456,0.649122807017544,"Treatment"
"538",38,"CR1","CR6",1,0,7,363,1,5,19,1992579.18570136,NA,NA,"Control"
"540",40,"CR2","CR6",0.8,0.2,1,361,1,5,0.8,648627.451221719,0.374207188160677,0.625792811839323,"Treatment"
"541",41,"CR1","CR7",0.6,0.4,7,360,1,5,7.8,1393785.82208145,0.408045977011494,0.591954022988506,"Treatment"
"543",43,"CR1","CR7",0,1,1,358,1,5,5,1451945.70135747,NA,NA,"Control"
"545",45,"CR2","CR6",0.6,0.4,3,356,1,5,3.6,1044585.21882353,0.263574660633484,0.736425339366516,"Treatment"
"546",46,"CR1","CR6",0.9,0.1,4,355,1,5,4.2,1617013.57466063,0.310924369747899,0.689075630252101,"Treatment"
"548",48,"CR1","CR7",0.7,0.3,7,353,1,5,12.4,1319336.35004525,0.219570405727924,0.780429594272076,"Treatment"
"549",49,"CR2","CR7",0.9,0.1,3,352,1,5,5.4,713484.162895928,0.465384615384615,0.534615384615385,"Treatment"
"551",51,"CR1","CR7",0,1,8,350,1,5,7.4,2125309.20054299,NA,NA,"Control"
"553",53,"CR1","CR6",1,0,1,348,1,5,3.8,2161025.64108597,NA,NA,"Control"
"554",54,"CR2","CR7",0.8,0.2,2,347,1,5,5.8,1135444.94714932,0.505730659025788,0.494269340974212,"Treatment"
"555",55,"CR2","CR6",0.8,0.2,5,346,1,5,4.4,819004.524705882,0.325520833333333,0.674479166666667,"Treatment"
"557",57,"CR2","CR6",0.8,0.2,3,344,1,5,7,837828.054298642,0.418604651162791,0.581395348837209,"Treatment"
"558",58,"CR1","CR6",0.8,0.2,8,343,1,5,7,1669019.6079638,0.255605381165919,0.744394618834081,"Treatment"
"560",60,"CR2","CR6",0.7,0.3,6,341,1,5,6.4,855625.94280543,0.462093862815884,0.537906137184116,"Treatment"
"561",61,"CR1","CR6",0.9,0.1,9,340,1,5,7.6,1406033.18226244,0.18100481761872,0.81899518238128,"Treatment"
"563",63,"CR2","CR6",0.6,0.4,8,338,1,5,7.2,984494.720904977,0.437935843793584,0.562064156206416,"Treatment"
"565",65,"CR1","CR7",0.8,0.2,6,336,1,5,3.8,1996802.41303167,0.0680672268907563,0.931932773109244,"Treatment"
"569",69,"CR1","CR6",0.6,0.4,1,332,1,5,6.6,1585942.68488688,0.248114630467572,0.751885369532428,"Treatment"
"570",70,"CR1","CR7",0.9,0.1,5,331,1,5,9.8,1240422.32253394,0.109090909090909,0.890909090909091,"Treatment"
"571",71,"CR1","CR6",0.8,0.2,2,330,1,5,1,1877888.38588235,0.0727272727272727,0.927272727272727,"Treatment"
"576",76,"CR2","CR6",0.9,0.1,3,325,1,5,5.2,1200663.64995475,0.503586800573888,0.496413199426112,"Treatment"
"577",77,"CR2","CR6",0.9,0.1,6,324,1,5,1.8,1263891.40289593,0.509803921568627,0.490196078431373,"Treatment"
"580",80,"CR2","CR7",0.7,0.3,4,321,1,5,15,849291.100995475,0.505480335267569,0.494519664732431,"Treatment"
"583",83,"CR2","CR7",0.9,0.1,8,318,1,5,13.4,749803.921628959,0.610709117221418,0.389290882778582,"Treatment"
"584",84,"CR1","CR7",0.7,0.3,2,317,1,5,9.8,1660331.82515837,0.076158940397351,0.923841059602649,"Treatment"
"585",85,"CR2","CR6",0.7,0.3,10,316,1,5,3.8,967963.801085973,0.561368209255533,0.438631790744467,"Treatment"
"586",86,"CR1","CR6",0,1,8,315,1,5,7,1738280.54280543,NA,NA,"Control"
"587",87,"CR2","CR6",0.6,0.4,2,314,1,5,3.8,1433001.50823529,0.494647636039251,0.505352363960749,"Treatment"
"590",90,"CR1","CR7",0.6,0.4,1,311,1,5,6.4,1686153.84597285,0.0343593414459556,0.965640658554044,"Treatment"
"591",91,"CR1","CR6",0.6,0.4,9,310,1,5,4.4,2077104.07221719,0.197780678851175,0.802219321148825,"Treatment"
"595",95,"CR2","CR6",0.7,0.3,2,306,1,5,8.6,889954.751131222,0.643861293345829,0.356138706654171,"Treatment"
"596",96,"CR1","CR6",0.8,0.2,7,305,1,5,6,1547571.6439819,0.27107337780473,0.72892662219527,"Treatment"
"597",97,"CR1","CR6",0.6,0.4,6,304,1,5,12,1686334.84180995,0.170466883821933,0.829533116178067,"Treatment"
"600",100,"CR1","CR7",0.7,0.3,10,301,1,5,0,2166455.50533937,0.0250509758228954,0.974949024177105,"Treatment"
"601",1,"CR1","CR6",0,1,3,400,1,6,47.6,1215384.61520362,NA,NA,"Control"
"602",2,"CR1","CR7",0,1,3,399,1,6,30.6,1365429.86443439,NA,NA,"Control"
"603",3,"CR2","CR7",0.9,0.1,2,398,1,6,32.4,1087360.48289593,0.285714285714286,0.714285714285714,"Treatment"
"604",4,"CR1","CR7",0,1,7,397,1,6,20.2,1360301.65900452,NA,NA,"Control"
"605",5,"CR2","CR6",0.8,0.2,7,396,1,6,18,1079698.34063348,0.394366197183099,0.605633802816901,"Treatment"
"608",8,"CR2","CR7",0.9,0.1,5,393,1,6,24,1254720.96542986,0.450704225352113,0.549295774647887,"Treatment"
"609",9,"CR1","CR6",0.9,0.1,5,392,1,6,36.8,978763.197828054,0.570281124497992,0.429718875502008,"Treatment"
"610",10,"CR1","CR6",0,1,2,391,1,6,16.8,1337013.57447964,NA,NA,"Control"
"611",11,"CR1","CR6",0.8,0.2,9,390,1,6,29.8,1104072.39800905,0.52212389380531,0.47787610619469,"Treatment"
"612",12,"CR1","CR7",0.7,0.3,1,389,1,6,14.4,1028717.94895928,0.115089514066496,0.884910485933504,"Treatment"
"615",15,"CR2","CR7",0.7,0.3,10,386,1,6,25.4,1136711.91529412,0.647058823529412,0.352941176470588,"Treatment"
"616",16,"CR2","CR6",0.8,0.2,8,385,1,6,24,1215143.2881448,0.75,0.25,"Treatment"
"621",21,"CR1","CR6",0.6,0.4,8,380,1,6,19.2,1070708.89900452,0.423076923076923,0.576923076923077,"Treatment"
"626",26,"CR2","CR7",0.7,0.3,8,375,1,6,27.6,938159.879457013,0.583333333333333,0.416666666666667,"Treatment"
"627",27,"CR1","CR7",0.7,0.3,9,374,1,6,22.8,1012187.02859728,0.112676056338028,0.887323943661972,"Treatment"
"628",28,"CR2","CR7",0.6,0.4,9,373,1,6,28.8,1051221.71945701,0.574712643678161,0.425287356321839,"Treatment"
"629",29,"CR2","CR7",0.8,0.2,1,372,1,6,27,1222684.76633484,0.731707317073171,0.268292682926829,"Treatment"
"630",30,"CR1","CR6",0.7,0.3,6,371,1,6,19.8,937797.888325792,0.358024691358025,0.641975308641975,"Treatment"
"631",31,"CR1","CR7",0.7,0.3,6,370,1,6,14.6,1024917.0439819,0.0950118764845606,0.904988123515439,"Treatment"
"632",32,"CR2","CR6",0.8,0.2,4,369,1,6,25.2,1235233.78588235,0.0803571428571429,0.919642857142857,"Treatment"
"636",36,"CR1","CR7",0.6,0.4,9,365,1,6,21,727963.801085973,0.260162601626016,0.739837398373984,"Treatment"
"637",37,"CR2","CR6",0.6,0.4,5,364,1,6,18,577375.565429864,0.129310344827586,0.870689655172414,"Treatment"
"638",38,"CR1","CR6",1,0,7,363,1,6,29.8,1393484.16271493,NA,NA,"Control"
"640",40,"CR2","CR6",0.8,0.2,1,361,1,6,0.4,778340.874570136,0.444444444444444,0.555555555555556,"Treatment"
"641",41,"CR1","CR7",0.6,0.4,7,360,1,6,9,1178521.87004525,0.106217616580311,0.893782383419689,"Treatment"
"643",43,"CR1","CR7",0,1,1,358,1,6,9.6,1307752.63927602,NA,NA,"Control"
"645",45,"CR2","CR6",0.6,0.4,3,356,1,6,3.4,981417.797647059,0.288194444444444,0.711805555555556,"Treatment"
"646",46,"CR1","CR6",0.9,0.1,4,355,1,6,8.4,880723.981900452,0.446054750402576,0.553945249597424,"Treatment"
"648",48,"CR1","CR7",0.7,0.3,7,353,1,6,16.4,636983.408687783,0.116197183098592,0.883802816901408,"Treatment"
"649",49,"CR2","CR7",0.9,0.1,3,352,1,6,5.4,835595.776832579,0.469026548672566,0.530973451327434,"Treatment"
"651",51,"CR1","CR7",0,1,8,350,1,6,15.2,1796802.41321267,NA,NA,"Control"
"653",53,"CR1","CR6",1,0,1,348,1,6,6.4,1237828.05447964,NA,NA,"Control"
"654",54,"CR2","CR7",0.8,0.2,2,347,1,6,4,657375.565791855,0.386934673366834,0.613065326633166,"Treatment"
"655",55,"CR2","CR6",0.8,0.2,5,346,1,6,4.2,663650.075294118,0.44,0.56,"Treatment"
"657",57,"CR2","CR6",0.8,0.2,3,344,1,6,6,594932.126877828,0.444285714285714,0.555714285714286,"Treatment"
"658",58,"CR1","CR6",0.8,0.2,8,343,1,6,8,984555.052669683,0.3147128245476,0.6852871754524,"Treatment"
"660",60,"CR2","CR6",0.7,0.3,6,341,1,6,6.6,923800.90479638,0.486979166666667,0.513020833333333,"Treatment"
"661",61,"CR1","CR6",0.9,0.1,9,340,1,6,7.8,1262503.77067873,0.297101449275362,0.702898550724638,"Treatment"
"663",63,"CR2","CR6",0.6,0.4,8,338,1,6,9.4,910407.24,0.449628844114528,0.550371155885472,"Treatment"
"665",65,"CR1","CR7",0.8,0.2,6,336,1,6,8.2,1159336.34986425,0.0999592003263974,0.900040799673603,"Treatment"
"669",69,"CR1","CR6",0.6,0.4,1,332,1,6,NA,2714.93212669683,NA,NA,"Treatment"
"670",70,"CR1","CR7",0.9,0.1,5,331,1,6,12,797888.385882353,0.117960877296977,0.882039122703023,"Treatment"
"671",71,"CR1","CR6",0.8,0.2,2,330,1,6,NA,13574.6606334842,NA,NA,"Treatment"
"676",76,"CR2","CR6",0.9,0.1,3,325,1,6,3.2,698944.192941176,0.575342465753425,0.424657534246575,"Treatment"
"677",77,"CR2","CR6",0.9,0.1,6,324,1,6,3.2,674570.135565611,0.662309368191721,0.337690631808279,"Treatment"
"680",80,"CR2","CR7",0.7,0.3,4,321,1,6,18.6,659788.838552036,0.65959059893859,0.34040940106141,"Treatment"
"683",83,"CR2","CR7",0.9,0.1,8,318,1,6,11.2,792820.512760181,0.629258517034068,0.370741482965932,"Treatment"
"684",84,"CR1","CR7",0.7,0.3,2,317,1,6,18,1257978.8839819,0.109251968503937,0.890748031496063,"Treatment"
"685",85,"CR2","CR6",0.7,0.3,10,316,1,6,7.2,837586.727239819,0.605493863237873,0.394506136762127,"Treatment"
"686",86,"CR1","CR6",0,1,8,315,1,6,3.6,1582986.42515837,NA,NA,"Control"
"687",87,"CR2","CR6",0.6,0.4,2,314,1,6,5,910829.562352941,0.49076664801343,0.50923335198657,"Treatment"
"690",90,"CR1","CR7",0.6,0.4,1,311,1,6,6.2,1179245.85230769,0.122812599427299,0.877187400572701,"Treatment"
"691",91,"CR1","CR6",0.6,0.4,9,310,1,6,6.2,1215143.2881448,0.54475138121547,0.45524861878453,"Treatment"
"695",95,"CR2","CR6",0.7,0.3,2,306,1,6,NA,2473.60482678733,NA,NA,"Treatment"
"696",96,"CR1","CR6",0.8,0.2,7,305,1,6,10.8,990346.908054298,0.574979951884523,0.425020048115477,"Treatment"
"697",97,"CR1","CR6",0.6,0.4,6,304,1,6,12.4,211885.369520362,0.491899441340782,0.508100558659218,"Treatment"
"700",100,"CR1","CR7",0.7,0.3,10,301,1,6,0,987873.302986425,0.136876410127852,0.863123589872148,"Treatment"
"701",1,"CR1","CR6",0,1,3,400,1,7,62.4,NA,NA,NA,"Control"
"702",2,"CR1","CR7",0,1,3,399,1,7,39.4,1417797.88832579,NA,NA,"Control"
"703",3,"CR2","CR7",0.9,0.1,2,398,1,7,46.4,1065399.69828054,0.276923076923077,0.723076923076923,"Treatment"
"704",4,"CR1","CR7",0,1,7,397,1,7,32.4,1122413.27294118,NA,NA,"Control"
"705",5,"CR2","CR6",0.8,0.2,7,396,1,7,36.4,1206515.83710407,0.355555555555556,0.644444444444444,"Treatment"
"708",8,"CR2","CR7",0.9,0.1,5,393,1,7,30.4,1097556.56090498,0.492063492063492,0.507936507936508,"Treatment"
"709",9,"CR1","CR6",0.9,0.1,5,392,1,7,48,862322.77520362,0.605504587155963,0.394495412844037,"Treatment"
"710",10,"CR1","CR6",0,1,2,391,1,7,26.2,1327601.80995475,NA,NA,"Control"
"711",11,"CR1","CR6",0.8,0.2,9,390,1,7,44.2,850739.064977375,NA,NA,"Treatment"
"712",12,"CR1","CR7",0.7,0.3,1,389,1,7,24.8,723438.913846154,0.403636363636364,0.596363636363636,"Treatment"
"715",15,"CR2","CR7",0.7,0.3,10,386,1,7,30.6,985339.366696832,0.564102564102564,0.435897435897436,"Treatment"
"716",16,"CR2","CR6",0.8,0.2,8,385,1,7,36.2,1255987.93357466,0.745098039215686,0.254901960784314,"Treatment"
"721",21,"CR1","CR6",0.6,0.4,8,380,1,7,33.8,823167.42081448,0.693786982248521,0.306213017751479,"Treatment"
"726",26,"CR2","CR7",0.7,0.3,8,375,1,7,28,1094419.30642534,0.551724137931034,0.448275862068966,"Treatment"
"727",27,"CR1","CR7",0.7,0.3,9,374,1,7,36,737134.238552036,0.36231884057971,0.63768115942029,"Treatment"
"728",28,"CR2","CR7",0.6,0.4,9,373,1,7,50.8,1118250.37683258,0.409090909090909,0.590909090909091,"Treatment"
"729",29,"CR2","CR7",0.8,0.2,1,372,1,7,40.6,1039517.34515837,0.782608695652174,0.217391304347826,"Treatment"
"730",30,"CR1","CR6",0.7,0.3,6,371,1,7,30,800361.990950226,0.644444444444444,0.355555555555556,"Treatment"
"731",31,"CR1","CR7",0.7,0.3,6,370,1,7,22,799396.681628959,0.235033259423503,0.764966740576497,"Treatment"
"732",32,"CR2","CR6",0.8,0.2,4,369,1,7,35.6,1181840.12090498,0.789473684210526,0.210526315789474,"Treatment"
"736",36,"CR1","CR7",0.6,0.4,9,365,1,7,29.8,780030.166153846,0.345291479820628,0.654708520179372,"Treatment"
"737",37,"CR2","CR6",0.6,0.4,5,364,1,7,23,1190648.56723982,0.558823529411765,0.441176470588235,"Treatment"
"738",38,"CR1","CR6",1,0,7,363,1,7,35.6,1237828.05447964,NA,NA,"Control"
"740",40,"CR2","CR6",0.8,0.2,1,361,1,7,1.8,553785.822081448,0.448979591836735,0.551020408163265,"Treatment"
"741",41,"CR1","CR7",0.6,0.4,7,360,1,7,13,732126.696651584,0.298676748582231,0.701323251417769,"Treatment"
"743",43,"CR1","CR7",0,1,1,358,1,7,8.6,1345641.02552036,NA,NA,"Control"
"745",45,"CR2","CR6",0.6,0.4,3,356,1,7,1.8,883861.236923077,0.173913043478261,0.826086956521739,"Treatment"
"746",46,"CR1","CR6",0.9,0.1,4,355,1,7,3.4,872277.526153846,NA,NA,"Treatment"
"748",48,"CR1","CR7",0.7,0.3,7,353,1,7,21.4,789924.585339366,0.370324189526185,0.629675810473815,"Treatment"
"749",49,"CR2","CR7",0.9,0.1,3,352,1,7,6,533092.006045249,0.25,0.75,"Treatment"
"751",51,"CR1","CR7",0,1,8,350,1,7,11.6,1090256.41031674,NA,NA,"Control"
"753",53,"CR1","CR6",1,0,1,348,1,7,8.2,974781.297013575,NA,NA,"Control"
"754",54,"CR2","CR7",0.8,0.2,2,347,1,7,6.2,790829.562352941,0.35081466395112,0.64918533604888,"Treatment"
"755",55,"CR2","CR6",0.8,0.2,5,346,1,7,3.2,718793.363619909,0.5,0.5,"Treatment"
"757",57,"CR2","CR6",0.8,0.2,3,344,1,7,7.2,730316.742081448,0.446078431372549,0.553921568627451,"Treatment"
"758",58,"CR1","CR6",0.8,0.2,8,343,1,7,10.2,878431.372669683,0.821480406386067,0.178519593613933,"Treatment"
"760",60,"CR2","CR6",0.7,0.3,6,341,1,7,9.2,873061.840180995,0.514360313315927,0.485639686684073,"Treatment"
"761",61,"CR1","CR6",0.9,0.1,9,340,1,7,8.6,1187571.6439819,0.717285945072698,0.282714054927302,"Treatment"
"763",63,"CR2","CR6",0.6,0.4,8,338,1,7,9.6,785218.70280543,0.472636815920398,0.527363184079602,"Treatment"
"765",65,"CR1","CR7",0.8,0.2,6,336,1,7,8.2,1168024.13266968,0.249858035207269,0.750141964792731,"Treatment"
"769",69,"CR1","CR6",0.6,0.4,1,332,1,7,6.6,1202292.60923077,0.823151125401929,0.176848874598071,"Treatment"
"770",70,"CR1","CR7",0.9,0.1,5,331,1,7,12.8,814358.974479638,0.334677419354839,0.665322580645161,"Treatment"
"771",71,"CR1","CR6",0.8,0.2,2,330,1,7,1.8,950527.903710407,0.799107142857143,0.200892857142857,"Treatment"
"776",76,"CR2","CR6",0.9,0.1,3,325,1,7,5,883438.914027149,0.642335766423358,0.357664233576642,"Treatment"
"777",77,"CR2","CR6",0.9,0.1,6,324,1,7,3.4,818944.192941176,0.738124238733252,0.261875761266748,"Treatment"
"780",80,"CR2","CR7",0.7,0.3,4,321,1,7,20.2,1234027.14950226,0.477777777777778,0.522222222222222,"Treatment"
"783",83,"CR2","CR7",0.9,0.1,8,318,1,7,14,1251945.70153846,0.48948948948949,0.510510510510511,"Treatment"
"784",84,"CR1","CR7",0.7,0.3,2,317,1,7,20,872458.52199095,0.32380073800738,0.67619926199262,"Treatment"
"785",85,"CR2","CR6",0.7,0.3,10,316,1,7,8.6,893393.664977375,0.62876254180602,0.37123745819398,"Treatment"
"786",86,"CR1","CR6",0,1,8,315,1,7,10.6,1196199.09502262,NA,NA,"Control"
"787",87,"CR2","CR6",0.6,0.4,2,314,1,7,8.6,838431.372488688,0.627329192546584,0.372670807453416,"Treatment"
"790",90,"CR1","CR7",0.6,0.4,1,311,1,7,6.4,803619.909502262,0.22082717872969,0.77917282127031,"Treatment"
"791",91,"CR1","CR6",0.6,0.4,9,310,1,7,6,799457.013393665,0.9376,0.0624,"Treatment"
"795",95,"CR2","CR6",0.7,0.3,2,306,1,7,11.2,1271553.54461538,0.65956540264167,0.34043459735833,"Treatment"
"796",96,"CR1","CR6",0.8,0.2,7,305,1,7,12,894962.292488688,0.948012232415902,0.0519877675840979,"Treatment"
"797",97,"CR1","CR6",0.6,0.4,6,304,1,7,9.8,997043.740452489,NA,NA,"Treatment"
"800",100,"CR1","CR7",0.7,0.3,10,301,1,7,0.8,1395354.44959276,0.236187845303867,0.763812154696133,"Treatment"
"801",1,"CR1","CR6",0,1,3,400,1,8,43.4,955113.122171946,NA,NA,"Control"
"802",2,"CR1","CR7",0,1,3,399,1,8,47.4,1406334.84162896,NA,NA,"Control"
"803",3,"CR2","CR7",0.9,0.1,2,398,1,8,41.8,1010618.40108597,0.692307692307692,0.307692307692308,"Treatment"
"804",4,"CR1","CR7",0,1,7,397,1,8,40.8,1125248.86859728,NA,NA,"Control"
"805",5,"CR2","CR6",0.8,0.2,7,396,1,8,37.8,1179366.5158371,0.636363636363636,0.363636363636364,"Treatment"
"808",8,"CR2","CR7",0.9,0.1,5,393,1,8,46,1194570.13574661,0.848484848484849,0.151515151515152,"Treatment"
"809",9,"CR1","CR6",0.9,0.1,5,392,1,8,47.6,845610.859547511,0.0833333333333333,0.916666666666667,"Treatment"
"810",10,"CR1","CR6",0,1,2,391,1,8,32.8,749562.594027149,NA,NA,"Control"
"811",11,"CR1","CR6",0.8,0.2,9,390,1,8,39.2,952820.512941176,0.166666666666667,0.833333333333333,"Treatment"
"812",12,"CR1","CR7",0.7,0.3,1,389,1,8,34.4,934841.629140271,0.742424242424242,0.257575757575758,"Treatment"
"815",15,"CR2","CR7",0.7,0.3,10,386,1,8,36,1107873.30298643,0.75,0.25,"Treatment"
"816",16,"CR2","CR6",0.8,0.2,8,385,1,8,44,931161.387692308,0.8,0.2,"Treatment"
"821",21,"CR1","CR6",0.6,0.4,8,380,1,8,44.8,890980.392217194,0.0967741935483871,0.903225806451613,"Treatment"
