Kc1,Kc2,P1,P2,dist,run,start_freq,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
1,4.654545455,0.9,0.534545455,49,49,0.6,3.173705327,0,0.522077922,1,0.477922078,3.672772727,1
1,4.584848485,0.9,0.541515152,50,50,0.6,3.167828323,0,0.512121212,1,0.487878788,3.602728139,1
1,4.515151515,0.9,0.548484848,51,51,0.6,3.195762589,0,0.502164502,1,0.497835498,3.532683552,1
1,4.445454545,0.9,0.555454545,52,52,0.6,3.165403128,0,0.492207792,1,0.507792208,3.462638964,1
1,4.375757576,0.9,0.562424242,53,53,0.6,3.156919741,0,0.482251082,1,0.517748918,3.392594376,1
1,4.306060606,0.9,0.569393939,54,54,0.6,3.1486396,0,0.472294372,1,0.527705628,3.322549789,1
1,4.236363636,0.9,0.576363636,55,55,0.6,3.094334415,0,0.462337662,1,0.537662338,3.252505201,1
1,4.166666667,0.9,0.583333333,56,56,0.6,3.068532913,0,0.452380952,1,0.547619048,3.182460613,1
1,4.096969697,0.9,0.59030303,57,57,0.6,3.087802911,0,0.442424242,1,0.557575758,3.112416026,1
1,4.027272727,0.9,0.597272727,58,58,0.6,3.064581812,0,0.432467532,1,0.567532468,3.042371438,1
1,3.957575758,0.9,0.604242424,59,59,0.6,3.00284219,0,0.422510823,1,0.577489177,2.97232685,1
1,3.887878788,0.9,0.611212121,60,60,0.6,2.981955457,0,0.412554113,1,0.587445887,2.902282263,1
1,3.818181818,0.9,0.618181818,61,61,0.6,2.932629225,0,0.402597403,1,0.597402597,2.832237675,1
1,3.748484848,0.9,0.625151515,62,62,0.6,2.940365523,0,0.392640693,1,0.607359307,2.762193087,1
1,3.678787879,0.9,0.632121212,63,63,0.6,2.915182355,0,0.382683983,1,0.617316017,2.6921485,1
1,3.609090909,0.9,0.639090909,64,64,0.6,2.873044914,0,0.372727273,1,0.627272727,2.622103912,1
1,3.539393939,0.9,0.646060606,65,65,0.6,2.877704984,0,0.362770563,1,0.637229437,2.552059324,1
1,3.46969697,0.9,0.653030303,66,66,0.6,2.806589439,0,0.352813853,1,0.647186147,2.482014737,1
1,3.4,0.9,0.66,67,67,0.6,2.808004864,0,0.342857143,1,0.657142857,2.411970149,1
1,3.33030303,0.9,0.666969697,68,68,0.6,2.780913816,0,0.332900433,1,0.667099567,2.341925561,1
1,3.260606061,0.9,0.673939394,69,69,0.6,2.710948911,0,0.322943723,1,0.677056277,2.271880974,1
1,3.190909091,0.9,0.680909091,70,70,0.6,2.672284885,0,0.312987013,1,0.687012987,2.201836386,1
