Kc1,Kc2,P1,P2,dist,run,start_freq,ln_eco_evo,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
2,5.258585859,0.8,0.474141414,47,47,0.6,NA,3.119354448,0,0.543097643,1,0.456902357,3.274838258,2
2,5.198989899,0.8,0.48010101,48,48,0.6,NA,3.106593829,0,0.533164983,1,0.466835017,3.21494506,2
2,5.139393939,0.8,0.486060606,49,49,0.6,NA,3.088077746,0,0.523232323,1,0.476767677,3.155051862,2
2,5.07979798,0.8,0.492020202,50,50,0.6,NA,3.080230789,0,0.513299663,1,0.486700337,3.095158664,2
2,5.02020202,0.8,0.497979798,51,51,0.6,NA,3.044866376,0,0.503367003,1,0.496632997,3.035265465,2
2,4.960606061,0.8,0.503939394,52,52,0.6,NA,3.019899376,0,0.493434343,1,0.506565657,2.975372267,2
2,4.901010101,0.8,0.50989899,53,53,0.6,NA,2.997416481,0,0.483501684,1,0.516498316,2.915479069,2
2,4.841414141,0.8,0.515858586,54,54,0.6,NA,2.976929429,0,0.473569024,1,0.526430976,2.855585871,2
2,4.781818182,0.8,0.521818182,55,55,0.6,NA,2.957229512,0,0.463636364,1,0.536363636,2.795692673,2
2,4.722222222,0.8,0.527777778,56,56,0.6,NA,2.937942154,0,0.453703704,1,0.546296296,2.735799475,2
2,4.662626263,0.8,0.533737374,57,57,0.6,NA,2.920752882,0,0.443771044,1,0.556228956,2.675906276,2
2,4.603030303,0.8,0.53969697,58,58,0.6,NA,2.905210148,0,0.433838384,1,0.566161616,2.616013078,2
2,4.543434343,0.8,0.545656566,59,59,0.6,NA,2.901527832,0,0.423905724,1,0.576094276,2.55611988,2
2,4.483838384,0.8,0.551616162,60,60,0.6,NA,2.885447422,0,0.413973064,1,0.586026936,2.496226682,2
2,4.424242424,0.8,0.557575758,61,61,0.6,NA,2.845580256,0,0.404040404,1,0.595959596,2.436333484,2
2,4.364646465,0.8,0.563535354,62,62,0.6,NA,2.81390874,0,0.394107744,1,0.605892256,2.376440286,2
2,4.305050505,0.8,0.569494949,63,63,0.6,NA,2.784827944,0,0.384175084,1,0.615824916,2.316547088,2
2,4.245454545,0.8,0.575454545,64,64,0.6,NA,2.767430944,0,0.374242424,1,0.625757576,2.256653889,2
2,4.185858586,0.8,0.581414141,65,65,0.6,NA,2.734131352,0,0.364309764,1,0.635690236,2.196760691,2
2,4.126262626,0.8,0.587373737,66,66,0.6,NA,2.74747877,0,0.354377104,1,0.645622896,2.136867493,2
2,4.066666667,0.8,0.593333333,67,67,0.6,NA,2.675965634,0,0.344444444,1,0.655555556,2.076974295,2
